critical_ratio,resonance_ratio,pitch_lambda,orbit_shift,branch,amplitude_ratio_fow_over_zow,eta_sd_zow,eta_maxwell_zow,eta_sd_fow,eta_maxwell_fow,distribution_gap_zow,distribution_gap_fow,orbit_gap_sd,orbit_gap_maxwell,orbit_shift_exceeds_distribution_gap,signed_interaction
0.31,0.5,0.45,0.3,1,1.1176664414461859,1.2113107351202588,1.071351201948552,1.1101807557507724,0.9702212225790657,0.13995953317170673,0.13995953317170662,0.10112997936948642,0.10112997936948631,False,-1.1102230246251565e-16
0.31,0.5,0.45,0.4,-1,0.8621517586102624,1.2113107351202588,1.071351201948552,1.3461507076129071,1.2061911744412004,0.13995953317170673,0.13995953317170673,0.13483997249264834,0.13483997249264834,False,0.0
0.31,0.5,0.45,0.4,1,1.1598886043124714,1.2113107351202588,1.071351201948552,1.0764707626276104,0.9365112294559036,0.13995953317170673,0.13995953317170684,0.13483997249264834,0.13483997249264845,False,1.1102230246251565e-16
0.31,0.5,0.45,0.5,-1,0.8307677861907089,1.2113107351202588,1.071351201948552,1.3798607007360693,1.2399011675643625,0.13995953317170673,0.13995953317170673,0.16854996561581048,0.16854996561581048,True,0.0
0.31,0.5,0.45,0.5,1,1.2037057967609286,1.2113107351202588,1.071351201948552,1.0427607695044483,0.9028012363327416,0.13995953317170673,0.13995953317170673,0.16854996561581048,0.16854996561581048,True,0.0
0.31,0.5,0.45,0.6,-1,0.8005262503723624,1.2113107351202588,1.071351201948552,1.4135706938592314,1.2736111606875247,0.13995953317170673,0.13995953317170673,0.20225995873897262,0.20225995873897262,True,0.0
0.31,0.5,0.45,0.6,1,1.2491782743349804,1.2113107351202588,1.071351201948552,1.0090507763812862,0.8690912432095794,0.13995953317170673,0.13995953317170673,0.20225995873897262,0.20225995873897262,True,0.0
0.31,0.5,0.45,0.7,-1,0.7713855642786371,1.2113107351202588,1.071351201948552,1.4472806869823935,1.3073211538106868,0.13995953317170673,0.13995953317170673,0.23596995186213476,0.23596995186213476,True,0.0
0.31,0.5,0.45,0.7,1,1.296368568855903,1.2113107351202588,1.071351201948552,0.975340783258124,0.8353812500864173,0.13995953317170673,0.13995953317170673,0.23596995186213476,0.23596995186213476,True,0.0
0.31,0.5,0.45,0.8,-1,0.7433056548747682,1.2113107351202588,1.071351201948552,1.4809906801055557,1.341031146933849,0.13995953317170673,0.13995953317170673,0.2696799449852969,0.2696799449852969,True,0.0
0.31,0.5,0.45,0.8,1,1.3453415744139328,1.2113107351202588,1.071351201948552,0.9416307901349619,0.8016712569632551,0.13995953317170673,0.13995953317170673,0.2696799449852969,0.2696799449852969,True,0.0
0.31,0.5,0.45,0.9,-1,0.7162479078610742,1.2113107351202588,1.071351201948552,1.5147006732287176,1.374741140057011,0.13995953317170673,0.1399595331717065,0.3033899381084588,0.30338993810845905,True,-2.220446049250313e-16
0.31,0.5,0.45,0.9,1,1.3961646366078648,1.2113107351202588,1.071351201948552,0.9079207970117998,0.7679612638400931,0.13995953317170673,0.13995953317170673,0.30338993810845893,0.30338993810845893,True,0.0
0.31,0.5,0.45,1.0,-1,0.6901751145722114,1.2113107351202588,1.071351201948552,1.5484106663518797,1.408451133180173,0.13995953317170673,0.13995953317170673,0.33709993123162096,0.33709993123162096,True,0.0
